system.diskio.iostat.await,system.diskio.iostat.queue.avg_size,system.diskio.iostat.read.per_sec.bytes,system.diskio.iostat.write.per_sec.bytes,scenario,type,timestamp,anomaly
9.633,0.086,15991.0,50516,0,0,2018-01-01 00:00:00,0
4.283,0.008,68.679,27968,0,0,2018-01-01 00:01:00,0
34.667,0.059,684.95,35518,0,0,2018-01-01 00:02:00,0
6.174,0.01,0.0,58478,0,0,2018-01-01 00:03:00,0
14.258,0.039,0.0,89295,0,0,2018-01-01 00:04:00,0
59.524,0.084,0.0,34998,0,0,2018-01-01 00:05:00,0
6.353,0.011,0.0,59448,0,0,2018-01-01 00:06:00,0
5.545,0.009,0.0,60871,0,0,2018-01-01 00:07:00,0
28.912,0.055,0.0,60715,0,0,2018-01-01 00:08:00,0
21.504,0.045,0.0,60218,0,0,2018-01-01 00:09:00,0
6.532,0.012,343.567,60728,0,0,2018-01-01 00:10:00,0
8.583,0.014,0.0,82652,0,0,2018-01-01 00:11:00,0
7.56,0.013,0.0,58712,0,0,2018-01-01 00:12:00,0
8.894,0.011,0.0,10949,0,0,2018-01-01 00:13:00,0
8.146,0.019,0.0,93344,0,0,2018-01-01 00:14:00,0
8.702,0.019,0.0,52374,0,0,2018-01-01 00:15:00,0
30.897,0.045,962.228,43762,0,0,2018-01-01 00:16:00,0
8.913,0.014,0.0,40220,0,0,2018-01-01 00:17:00,0
5.846,0.01,0.0,39152,0,0,2018-01-01 00:18:00,0
7.18,0.015,0.0,61294,0,0,2018-01-01 00:19:00,0
6.987,0.009,0.0,56071,0,0,2018-01-01 00:20:00,0
7.577,0.013,0.0,60624,0,0,2018-01-01 00:21:00,0
7.45,0.014,342.69,59101,0,0,2018-01-01 00:22:00,0
7.925,0.014,0.0,61616,0,0,2018-01-01 00:23:00,0
9.068,0.022,0.0,63536,0,0,2018-01-01 00:24:00,0
8.277,0.014,0.0,59979,0,0,2018-01-01 00:25:00,0
8.114,0.014,0.0,61025,0,0,2018-01-01 00:26:00,0
9.98,0.017,0.0,60437,0,0,2018-01-01 00:27:00,0
39.731,0.069,0.0,60107,0,0,2018-01-01 00:28:00,0
7.309,0.017,0.0,63740,0,0,2018-01-01 00:29:00,0
12.244,0.017,0.0,55096,0,0,2018-01-01 00:30:00,0
7.252,0.015,0.0,61293,0,0,2018-01-01 00:31:00,0
5.592,0.01,0.0,42833,0,0,2018-01-01 00:32:00,0
16.024,0.045,20679.0,42432,0,0,2018-01-01 00:33:00,0
8.594,0.025,4828.0,44655,0,0,2018-01-01 00:34:00,0
48.412,0.079,0.0,58458,0,0,2018-01-01 00:35:00,0
6.928,0.011,68.696,59304,0,0,2018-01-01 00:36:00,0
5.957,0.009,0.0,58343,0,0,2018-01-01 00:37:00,0
6.453,0.011,0.0,60112,0,0,2018-01-01 00:38:00,0
7.17,0.023,68.843,92306,0,0,2018-01-01 00:39:00,0
14.81,0.021,68.722,58722,0,0,2018-01-01 00:40:00,0
3.44,0.006,0.0,34867,0,0,2018-01-01 00:41:00,0
7.327,0.012,68.713,59118,0,0,2018-01-01 00:42:00,0
61.736,0.11,0.0,60818,0,0,2018-01-01 00:43:00,0
7.624,0.022,0.0,67008,0,0,2018-01-01 00:44:00,0
